_id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
1,2002-07-02T00:00:00,Cairns,Ship,Commercial,Port,"Trinity Inlet, Cairns Harbour",Diesel,Unknown
2,2002-07-03T00:00:00,Cairns,Unknown,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
3,2002-07-12T00:00:00,Gladstone,Ship,Unknown,Coastal Waters,SE of Double Island Point,Bilge,Unknown
4,2002-07-22T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Town Reach, Brisbane River",Diesel,Unknown
5,2002-08-01T00:00:00,Gold Coast,Ship,Recreational,Coastal Waters,Canal area - Benowa,Diesel,Unknown
6,2002-08-05T00:00:00,Mackay,Ship,Fishing,Port,Mackay Harbour,Diesel,Unknown
7,2002-08-07T00:00:00,Townsville,Ship,Commercial,Port,"Ross Creek, Townsville",Diesel,Unknown
8,2002-08-12T00:00:00,Brisbane,Land,N/A,Coastal Waters,Breakfast Creek,Diesel,Unknown
9,2002-08-13T00:00:00,Cairns,Ship,Recreational,Offshore,11°44.31'S; 143°05.059'E,Diesel,Unknown
10,2002-08-15T00:00:00,Townsville,Ship,Fishing,Port,"Fisherman's Wharf, Ross River",Diesel,Unknown
11,2002-08-16T00:00:00,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
12,2002-08-20T00:00:00,Cairns,Ship,Fishing,Port,"Evans Landing, Weipa",Diesel,Unknown
13,2002-08-23T00:00:00,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
14,2002-08-25T00:00:00,Brisbane,Land,N/A,Port,Fisherman Island Berth #1&2,Cotton Seed Residue,Unknown
15,2002-08-31T00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"Morton Bay Boat Club, Scarborough",Bilge,Unknown
16,2002-09-02T00:00:00,Cairns,Ship,Fishing,GBR,"09°57'S;142°56'E, western side of Dungeress Reef",Diesel,Unknown
17,2002-09-02T00:00:00,Gladstone,Ship,Trading,Coastal Waters,12 nm SSE of High Peak,Bilge,Unknown
18,2002-09-08T00:00:00,Brisbane,Land,N/A,Port,"BP crude Terminal - Bulwer Island, Brisbane River",HFO,Unknown
19,2002-09-09T00:00:00,Cairns,Ship,Recreational,GBR,"Hospital Pt, Thursday Island",Diesel,Unknown
20,2002-09-09T00:00:00,Gladstone,Ship,Commercial,Port,RG Tanna Coal Terminal wharf,Hydraulic Oil,Unknown
21,2002-09-14T00:00:00,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
22,2002-09-19T00:00:00,Mackay,Ship,Recreational,Coastal Waters,Mackay Marina,Garbage,Unknown
23,2002-09-28T00:00:00,Gladstone,Ship,Trading,Coastal Waters,North Reef 23°10's;151°57'E,Bilge,Unknown
24,2002-09-29T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Saraha St Deagon, Brisbane River",Bilge,Unknown
25,2002-10-01T00:00:00,Brisbane,Unknown,Unknown,Port,"BP Products Berth, Pinkenba Reach Brisbane River",Diesel,Unknown
26,2002-10-02T00:00:00,Gladstone,Ship,Unknown,Coastal Waters,North East of Lady Musgrave Is,Bilge,Unknown
27,2002-10-02T00:00:00,Townsville,Ship,Fishing,GBR,Anzac Reef 18°43'S;147°53'E,Garbage,Unknown
28,2002-10-07T00:00:00,Brisbane,Land,N/A,Port,Fisherman Island Berth #1&2,Diesel,Unknown
29,2002-10-08T00:00:00,Mackay,Ship,Trading,GBR,22°19.25'S;151°17.7'E,Bilge,Unknown
30,2002-10-09T00:00:00,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
31,2002-10-19T00:00:00,Brisbane,Ship,Trading,Port,"BP Products Berth, Pinkenba Reach Brisbane River",HFO,Unknown
32,2002-10-19T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Point, Brisbane River",Diesel,Unknown
